34|CB RADIO FARUN LORD II |34672688|120|||1|31.05.2021|||TAK|
35|vakoss sp-b2815x|x|30|||1|31.05.2021|||TAK|
36|głośnik XMUSIC  BTS600K|x|40|90|kpl|0|31.05.2021|17.06.2021||NIE|
37|forever bs-140|x|20|||1|31.05.2021|||TAK|
38|ELTRA RABAN BLUETHOOTH|x|20||x|1|31.05.2021|||TAK|
39|Głośnik creative nuno  |wmmf8270820001850t|30|70|x|0|31.05.2021|11.06.2021||NIE|
40|głośnik sony srs-xb12 kp|x|60|110|x|0|31.05.2021|13.11.2021||NIE|
41|głośnik xmusic bts800k|x|100|180|x|0|31.05.2021|25.06.2021||NIE|
42|gŁOŚNIK JBL FLIP 3 KOLOR ŻÓŁTY|x|150|230|x|0|31.05.2021|10.06.2021||NIE|
43|radio yuegan sp-263|x|20|40|kpl|0|31.05.2021|19.03.2022||NIE|
44|GŁOŚNIK SOUNDLOGIC 17955|x|20|40|x|0|31.05.2021|26.08.2021||NIE|
45|głośnik Flare 2|07700518|80|130||0|31.05.2021|18.06.2021||NIE|
46|głośnik forever magic cube|x|10||x|1|31.05.2021|||TAK|
47|sony wxtrabass srs-xb23 |15806450000522|220|250|x|0|31.05.2021|25.11.2021||NIE|
48|głośnik amethyst m2 |m2140800255|40||x|1|31.05.2021|||TAK|
49|głośnik soundlogic kolorowy|x|40||x|1|31.05.2021|||TAK|
50|RADIO ALPINE UTE-72BT| 96822|50||x|1|31.05.2021|||TAK|
51|głośniki Trust barcelona 600 2+1|x|50|220||0|31.05.2021|19.06.2021||NIE|
52|jvc kd-x220| 179v6640|60|130|x|0|31.05.2021|17.08.2021||NIE|
53|RADIO SAMOCHODOWE PIONEER  MVH-1700B |NHKA008632EW|60|110|x|0|31.05.2021|05.06.2021||NIE|
54|LG Tone platinum hbs1120 |810bsneo21942|200||kpl|1|31.05.2021|||TAK|
55|słuchawki SONY WH-CH500|x|50|110|kpl|0|31.05.2021|24.03.2022||NIE|
56|głośnik google nest mini  |9909105ap27014|70||x|1|31.05.2021|||TAK|
57|google chromecast|0812adu0l04|100||x|1|31.05.2021|||TAK|
58|philips tadr402/12|x|60||kpl|1|31.05.2021|||TAK|
59|opiekacz silvercrest|x|30||x|1|31.05.2021|||TAK|
60|kalkulator fx-82sx|x|10|0|x|0|31.05.2021|11.01.2022||NIE|
61|opiekacz smile|x|10||x|1|31.05.2021|||TAK|
62|laser logitech r700|x|50||x|1|31.05.2021|||TAK|
63|beurer bm16 ciśnieniomierz|x|30|60|x|0|31.05.2021|11.08.2021||NIE|
64|prostownica remington perlwand|x|30|||1|31.05.2021|||TAK|
65|suszarka britney spirs|x|20|40||0|31.05.2021|10.02.2022||NIE|
66|suszarka hoffen|x|10|15|x|0|31.05.2021|09.06.2021||NIE|
67|airbox lte|353426091820373|40||kpl|1|31.05.2021|||TAK|
68|modem alcatel linkzone |357243074854246|40|100|kpl|0|31.05.2021|19.11.2021||NIE|
69|Huawei e5251s|868441011271688|40||kpl|1|31.05.2021|||TAK|
70|huawei e5577|863533040662047|40|80|kpl|0|31.05.2021|24.06.2021||NIE|
71|huawei e5577c|864695031100466|40|100|kpl|0|31.05.2021|09.09.2021||NIE|
72|HUAWEI E5573|860861035202914|60|110|kpl|0|31.05.2021|01.07.2021||NIE|
73|Huawei e5573|866162025053795|50|100|x|0|31.05.2021|12.08.2021||NIE|
74|Dlink dwr932|358430055857103|60|100|x|0|31.05.2021|31.07.2021||NIE|
75|MODEM MW40V-2ARGPL3|357243074332219|40|80|x|0|31.05.2021|11.06.2021||NIE|
76|GITARA CLASIC  CD-60 DREAD V3 DS/SB|x|150|330|x|0|31.05.2021|26.06.2021||NIE|
77|tuba basowa jbl ze wzmacniaczem magnat rx 44|x|250|400|x|0|31.05.2021|19.11.2021||NIE|
78|OCZYSZCZACZ POWIETRZA iOxy Zero Two|158049500002470|300|420|kpl|0|31.05.2021|15.07.2021||NIE|
79|odkurzacz dualpower|x|200||x|1|31.05.2021|||TAK|
80|zestaw garnków|henkelberg hg1395|250|270|kpl|0|31.05.2021|21.01.2022||NIE|
81|PIKEARNIK MPM MPE-02T |503100174|100|150|x|0|31.05.2021|07.12.2021||NIE|
82|PAROWAR ZELMER 37Z011|x|50||x|1|31.05.2021|||TAK|
83|szybkowar comfortcook7.0L|x|150||kpl|1|31.05.2021|||TAK|
84|SENCOR TOASTER STS 2603 |2017260305|35|40|kpl|0|31.05.2021|20.08.2021||NIE|
85|frytkownica eldom|freet fr18|50||kpl|1|31.05.2021|||TAK|
86|Go chef 8in1 cooker|x|80|110|x|0|31.05.2021|20.08.2021||NIE|
87|NAWILŻACZ AIR SONIC HB |YH2010DWS|70|90|kpl|0|31.05.2021|20.08.2021||NIE|
88|myjka Ryobi RPW105DM|X|200||KPL ZIELONE PUDŁO|1|31.05.2021|||TAK|
89|DRON WALKERA SCOUT X4|X|2050||WALIZKA CAŁY KPL|1|31.05.2021|||TAK|
90|mikser planetarny concept  rm-4420 2017/20|X|100|140|X|0|31.05.2021|20.08.2021||NIE|
91|KIEROWNICA COBRA RALLY GT900|X|150|250|KPL|0|31.05.2021|30.06.2021||NIE|
92|GŁOŚNIK PANASONIC SC-UA30|MR0GC001045|400|560|kpl|0|31.05.2021|10.06.2021||NIE|
93|OPRAWA STOS X2, PUTTO|x|80||kpl 3x|1|31.05.2021|||TAK|
94|wolnowar yd-4000|x|40||x|1|31.05.2021|||TAK|
95|masażer cepter|x|60||kpl|1|31.05.2021|||TAK|
96|maszyna do szycia łucznik Mini 505|x|100|140|kpl|0|31.05.2021|18.12.2021||NIE|
97|zestaw garnków germania elegance 12tlg|x|100||kpl|1|31.05.2021|||TAK|
98|odkurzacz tristar |pd08701|50|90|kpl|0|31.05.2021|20.08.2021||NIE|
99|COBRA  DK02 KLAWIATURA I MYSZKA|x|120||kpl|1|31.05.2021|||TAK|
100|kinect 360|x|40|50|x|0|31.05.2021|20.08.2021||NIE|
101|kinect|x|40|50|x|0|31.05.2021|20.08.2021||NIE|
102|kinect |x|40|70|x|0|31.05.2021|24.12.2021||NIE|
103|xbox one x |027115182217|700|930|kpl pad|0|31.05.2021|11.12.2021||NIE|
104|ps4|02274525752710085|700|830|kpl|0|31.05.2021|30.08.2021||NIE|
105|XBOX 360|03748541095318212305|150|270|x|0|31.05.2021|02.06.2021||NIE|
106|XBOX 360|106047333243|100||pad|1|31.05.2021|||TAK|
107|PS3 |02274459721567944CECH4204A|100|240|x|0|31.05.2021|05.08.2021||NIE|
108|XBOX 360 |106047333243|80||pad|1|31.05.2021|||TAK|
109|Ps3|02274458661613082|150|250|x|0|31.05.2021|02.08.2021||NIE|
110|konosla xbox one s|036356570816|350|620|pad|0|31.05.2021|11.06.2021||NIE|
111|pad xbox 360|02880726974839|40|70|x|0|31.05.2021|12.03.2022||NIE|
112|pad xbox 360|x|40|55|x|0|31.05.2021|05.06.2021||NIE|
113|samsung dexpad |r37kbpa11vrt3|100||kpl|1|31.05.2021|||TAK|
114|tp-link tl-wn821n|2145079006854|20||kpl|1|31.05.2021|||TAK|
115|tp-link tl-wr340g|x|25||kpl|1|31.05.2021|||TAK|
116|klawiatura steelseries apex 3|6479530531521900155|120|120|kpl|0|31.05.2021|26.10.2021|pudełko od innej klawy|NIE|
117|TELEFUNKEN SMART HIFI|x|40|0|kpl|0|31.05.2021|11.01.2022||NIE|
118|SKYTEC STM-3020B DJ|102819|50||kpl|1|31.05.2021|||TAK|
119|aUNA  KARAOKE SYSTEM |46906833|60||x|1|31.05.2021|||TAK|
120|POMPKA NAC SPE75D-N|x|80||kpl|1|31.05.2021|||TAK|
121|parownica philips gc310|x|20||x|1|31.05.2021|||TAK|
122|wiatrówka Crosman inferno|x|100|180|x|0|31.05.2021|25.09.2021||NIE|
123|GLO SERIES 2 GREY  |2100100003807|60|60|6 tytoni|0|31.05.2021|17.03.2022||NIE|
124|GLO SERIES 2 GREY|2100100003791 |60|60|6 tytoni|0|31.05.2021|17.03.2022||NIE|
125|TEFAL PF311E38 SERIE B07-D|x|50|90|kpl|0|31.05.2021|20.08.2021||NIE|
126|TOMTOM GO 6100|QQ1245F00379|500|730|x|0|31.05.2021|21.07.2021||NIE|
127|MAXCOM NAVI 503|brak|60|0|ładowarka + uchwyt|0|31.05.2021|11.01.2022||NIE|
128|cb radio johnny|02601501|60||antena|1|31.05.2021|||TAK|
129|cb radio president johnny 2|07405567|100|150|gruszka|0|31.05.2021|06.11.2021||NIE|
130|nikon d3200|6885794|700|830|obiektyw nikon 18-105mm|0|31.05.2021|14.07.2021||NIE|
131|akai lpd|84540622002441|60||kpl|1|31.05.2021|||TAK|
132|lampa voeloon v190 |664401|150|160|x|0|31.05.2021|03.01.2022||NIE|
133|SONY DSLR-300 |2056709|350|390|x|0|31.05.2021|08.09.2021||NIE|
134|MACBOOK AIR 11.3.1|C1MSL84YH3QF|1800|1790|kpl|0|31.05.2021|03.01.2022||NIE|
135|hp  envy x360|8cg0123ftn|3000|4000|x|0|31.05.2021|29.06.2021||NIE|
136|ASUS T304U |J9BOCX/RROCJ478|1400|1690|torba rysik |0|31.05.2021|31.05.2021||NIE|
137|huawei t3 7 |52RBB18322201717|50|200|kpl|0|31.05.2021|03.09.2021||NIE|
138|bosch pcl 1|890000449|70|140|x|0|31.05.2021|31.08.2021||NIE|
139|milwaukee  m18 fpd2|x|500|800|ład aku|0|31.05.2021|05.07.2021||NIE|
140|WKRĘTARKA MILWAUKEE M18 BLPD2|46917201003325|600||walizka 2 aku|1|31.05.2021|||TAK|
141|WKRĘTARKA Milwaukee m18 blpd|1859802001146e217|300|670|ład aku|0|31.05.2021|02.10.2021||NIE|
142|MAKITA JR103D|0002153 Y|150||x|1|31.05.2021|||TAK|
143|ODKURZACZ SILVERCREST|x|30|50|kpl|0|31.05.2021|21.07.2021|samochodowy mały|NIE|
144|Tester okablowania  nf-8601|x|200||w pokrowcu |1|31.05.2021|||TAK|
145|wkrętarka ricco 3,6v kolor niebieski|x|60||opakowanie |1|31.05.2021|||TAK|
146|ładowarka makita dcs07sa aku 1ah|x|50||x|1|31.05.2021|||TAK|
147|MYSZKA STEELSERIES  RIVAL600|x|100|150|kpl|0|31.05.2021|21.06.2021||NIE|
148|MASZYNKA PHILIPS SP9861|x|400|600|pokrowiec |0|31.05.2021|15.11.2021||NIE|
149|wIERTARKA sTOHR 78997|x|50||kpl|1|31.05.2021|||TAK|
150|szlifierka oscylacyjna niteo tools|fs0269-20|20|50|kpl|0|31.05.2021|23.03.2022||NIE|
151|WYRZYNARKA NUTOOL NJ600|x|40|65|kpl|0|31.05.2021|24.07.2021||NIE|
152|laser leica piper 100 |x|3500||walizka zółta|1|31.05.2021|||TAK|
153|BOSCH EASY DRILL 12-2 |908599934|100||kpl|1|31.05.2021|||TAK|
154|LUND 79024|018311679024|20|55|x|0|31.05.2021|08.09.2021||NIE|
155|WIERTARKA LUND 79024|x|30|45|x|0|31.05.2021|17.11.2021||NIE|
156|NUTOOL MPK480|PL002388|40|70|x|0|31.05.2021|22.11.2021||NIE|
157|bosch gsa 18v-li c|04076725 04/2019|150|690|x|0|31.05.2021|06.07.2021||NIE|
158|MAKITA FS2700  2015|024905K|200||x|1|31.05.2021|||TAK|
159|MAKITA 6824|x|100||x|1|31.05.2021|||TAK|
160|GARRETT 1165800 |55358731|250||x|1|31.05.2021|||TAK|
161|hilti wsr 22-a|044515|200||x|1|31.05.2021|||TAK|
162|WIERTARKA EINHELL BT-ID 650E|x|20||x|1|31.05.2021|||TAK|
163|MAKITA JV101D|0020314|200||x|1|31.05.2021|||TAK|
164|MAKITA TD110D MAKITA DF331|06317684 0896095|250||x|1|31.05.2021|||TAK|
165|lampa led 50w ip65 rgb|x|50||x|1|31.05.2021|||TAK|
166|polerka makita 9237cb|2016 32536|250|250|x|0|31.05.2021|08.09.2021||NIE|
167|dewalt d25123|brak|100||x|1|31.05.2021|||TAK|
168|hitachi dh24ph /|x|200|260|x|0|31.05.2021|25.10.2021||NIE|
169|EINHEL TH-RH 800E|x|60|110|x|0|31.05.2021|06.09.2021||NIE|
170|nutool 8156089org|x|65||x|1|31.05.2021|||TAK|
171|bOSCH PEX 300AE|x|100||x|1|31.05.2021|||TAK|
172|METABO EW 6114S|72376096000|50|120|x|0|31.05.2021|04.06.2021||NIE|
173|kątówka metabo 120mm|brak|120||x|1|31.05.2021|||TAK|
174|SZLIFIERKA UNITECH UT-116 |brak|40|65|kpl|0|31.05.2021|06.10.2021||NIE|
175|nikon 50MM|2456096|200||x|1|31.05.2021|||TAK|
176|lampa metz 48 af-1|x|140||x|1|31.05.2021|||TAK|
177|SPAWARKA EINHELL CEN 150|x|100|180|x|0|31.05.2021|31.12.2021||NIE|
178|Ferm FDBF-1300 |100/2010|100||x|1|31.05.2021|||TAK|
179|tryton tng 170|x|35||x|1|31.05.2021|||TAK|
180|graphite 59g020|x|35|70|x|0|31.05.2021|19.08.2021||NIE|
181|MAKITA HR4013C 2013|4077|999||kpl|1|31.05.2021|||TAK|
182|pompa wq6-25-1|kolor zielony|150||x|1|31.05.2021|||TAK|
183|mieszadło rl1400|x|75||x|1|31.05.2021|||TAK|
184|piła go/on kl4500|x|80|150|x|0|31.05.2021|17.06.2021||NIE|
185|SPECNA ARMS C007552|x|200|290|x|0|31.05.2021|13.07.2021||NIE|
186|dedra ded7953|x|150|230|x|0|31.05.2021|17.07.2021||NIE|
187|mieszadło baier|x|100||x|1|31.05.2021|||TAK|
188|bosch ake 30s/|x|150|320|x|0|31.05.2021|29.06.2021||NIE|
189|NAC CST45-40-02AC|x|100|200|x|0|31.05.2021|03.08.2021||NIE|
190|LIDER GKS52|2016112160025|170||x|1|31.05.2021|||TAK|
191|komputer stacjonarny fujitsu|ylth736944|100|300|x|0|31.05.2021|30.06.2021||NIE|
192|zestaw sztućce edelstahl|x|100||x|1|31.05.2021|||TAK|
193|prostownica do kabli tcs-5|x|500||walizka czarna|1|31.05.2021|||TAK|
194|Pioneer ts-wx300a|x|250||x|1|31.05.2021|||TAK|
195|subwoofer koda magnat|x|150|160|x|0|31.05.2021|01.07.2021||NIE|
196|kOLUMNY SONY SS-F6000P|1007173|250|300|x|0|31.05.2021|02.10.2021||NIE|
197|kolumny magnat vision 8000|13n3016772|80||x|1|31.05.2021|||TAK|
198|telewizor sony kdl-32r420a |6178751|400|430|x|0|31.05.2021|29.11.2021||NIE|
199|LG k8 17 |354965082294584|100|200|kpl|0|31.05.2021|10.06.2021||NIE|
200|huawei y6|867538027567925|100|200|kpl|0|31.05.2021|28.06.2021||NIE|
201|LENOVO  A6020|863177038507515|220|220|kpl|0|31.05.2021|28.06.2021||NIE|
202|huawei p8 lite|869856029628653|120|220|kpl|0|31.05.2021|10.06.2021||NIE|
203|lg k4 2017|354843084302889|120|230|kpl|0|31.05.2021|02.07.2021||NIE|
204|lg k10|357103080160733|240|240|tel|0|31.05.2021|25.06.2021||NIE|
205|SAMSUNG J3 16|354903083719572|200|250|kpl|0|31.05.2021|05.06.2021||NIE|
206|NOKIA 3.1|358986095792808|25||tel|1|31.05.2021|||TAK|
207|ALCATEL 5015X|352278070956319|50|150|tel|0|31.05.2021|17.06.2021||NIE|
208|MOTO C PLUS |351831091186356|100|170|tel|0|31.05.2021|24.06.2021||NIE|
209|IPHONE 11 PRO|352821112981454|2500|2900|kpl|0|31.05.2021|07.06.2021||NIE|
210|SAMSUNG A51|355698113282042|500|935|kpl|0|31.05.2021|08.06.2021||NIE|
211|SAMSUNG A72|356280233017555|1300|1550|kpl|0|31.05.2021|26.06.2021||NIE|
212|REDMI NOTE 9 |866860053241063 |400|550|kpl|0|31.05.2021|08.06.2021||NIE|
213|samsung a12|353956849300591|400|600|kpl|0|31.05.2021|19.06.2021||NIE|
214|SAMSUNG S21|352859303611738|2300|2800|kpl|0|31.05.2021|17.08.2021||NIE|
215|SAMSUNG S20+|353344113254697|1950|2400|kpl|0|31.05.2021|16.06.2021||NIE|
216|poco f2 pro|864064040672942|1440|1490|kpl|0|31.05.2021|05.07.2021||NIE|
217|xioami mi9 se|862536044469955|950||kpl?|1|31.05.2021|||TAK|
218|samsung s9+|357631091046954|950|930|kpl|0|31.05.2021|10.08.2021||NIE|
219|huawei p30|866402049032924|570|720|tel|0|31.05.2021|25.10.2021||NIE|
220|Samsung S9|352711093676845|750|750|kpl|0|31.05.2021|29.12.2021||NIE|
221|motorola edge |355545110950610|650|820|kpl|0|31.05.2021|01.06.2021||NIE|
222|moto e4 plus|355633087847314|120|200|tel|0|31.05.2021|24.06.2021||NIE|
223|sony z|355762058175825|130|230|tel?|0|31.05.2021|28.06.2021||NIE|
224|samsung galaxy note 9 |35245510275184901|600|750|kpl|0|31.05.2021|09.06.2021||NIE|
225|sAMSUNG a41|351910579694899|500|700|kpl|0|31.05.2021|24.06.2021||NIE|
226|SAMSUNG A71|350000024741031|450|740|kpl|0|31.05.2021|04.06.2021||NIE|
227|samsung s9 |357988092967798|400|810|kpl????|0|31.05.2021|05.07.2021||NIE|
228|SAMSUNG A41|35066267314341|700|800|kpl|0|31.05.2021|02.07.2021||NIE|
229|samsung s8+|354358084726433|390|650|kpl|0|31.05.2021|19.06.2021||NIE|
230|samsung galaxy a70|359320101247079|400|620|kpl|0|31.05.2021|30.06.2021||NIE|
231|XIAOMI REDMI NOTE 9|866860052274263|350|580|kpl|0|31.05.2021|09.06.2021||NIE|
232|nokia 6.2  |354206102901985|250|550|kpl|0|31.05.2021|21.06.2021||NIE|
233|XIAOMI REDMI NOTE 8T|86039604033751298|460|590|kpl|0|31.05.2021|10.06.2021||NIE|
234|HUAWEI P SMART PRO |865722045016543|400|530|kpl|0|31.05.2021|05.07.2021||NIE|
235|motorola g9 play|35554111608815808|350|500|kpl|0|31.05.2021|27.07.2021||NIE|
236|samsugn s8|354626096289321|350|650|kpl???|0|31.05.2021|02.06.2021||NIE|
237|HONOR 5X|869229024550068|140|250|kpl|0|31.05.2021|01.07.2021||NIE|
238|HONOR 8A|866010040974372|300|400|kpl|0|31.05.2021|10.07.2021||NIE|
239|XIAOMI MI A2 LITE |863896048492810|280|380|kpl|0|31.05.2021|26.07.2021||NIE|
240|samsung a40|357870103523564|320|410|kpl|0|31.05.2021|16.06.2021|FV23% |NIE|
241|XIAOMI MI 6|86544103719512|300|400|KPL|0|31.05.2021|20.08.2021||NIE|
242|apple iphone 5s|352047064930493|150|240|KPL?|0|31.05.2021|28.06.2021||NIE|
243|apple iphone se|359143072414340|250|280|KPL?|0|31.05.2021|12.06.2021||NIE|
244|moto g8 power lite |351628111996701|300|460|kpl|0|31.05.2021|28.06.2021||NIE|
245|iphone 6 |356152092187987|250|350|kpl|0|31.05.2021|12.07.2021||NIE|
246|apple iphone 6s 16gb|356650089102240|370|390|tel?|0|31.05.2021|06.07.2021||NIE|
247|HONOR 8X |865777047049512|250|490|kpl?|0|31.05.2021|02.08.2021||NIE|
248|IPHONE 6S|355765070045215|300|370|kpl??|0|31.05.2021|05.07.2021||NIE|
249|apple iphone 6s 16gb|355771075908738|400|380|kpl|0|31.05.2021|23.07.2021||NIE|
250|apple iphone 6s 16gb |355420078315760|420|390|tel|0|31.05.2021|06.07.2021||NIE|
251|apple iphone 6s 16gb |355688076449316|385|370|kpl|0|31.05.2021|01.07.2021||NIE|
252|APPLE IPHONE 6S 64GB |358567075106241|320|400|kpl|0|31.05.2021|26.06.2021||NIE|
253|APPLE IPHONE 7 256GB|355327085177820|570|700|tel|0|31.05.2021|19.06.2021||NIE|
254|iphone 7|356554080774736|340|610|kpl|0|31.05.2021|09.06.2021||NIE|
255|iphone 8 |358708091759122|750|880|kpl|0|31.05.2021|08.06.2021||NIE|
256|sony l1|355249090696958|200|300|kpl|0|31.05.2021|13.07.2021||NIE|
257|HUAWEI MATE 10 LITE  |867973036580728|180|330|kpl|0|31.05.2021|26.06.2021||NIE|
258|SAMSUNG A6+  |35191810177310|60||tel|1|31.05.2021|||TAK|
259|SONY XA2|352765093606723|280|360|kpl|0|31.05.2021|16.06.2021||NIE|
260|huawei p10 lite|866431032378531|250|360|kpl|0|31.05.2021|30.06.2021||NIE|
261|huawei mate 20 lite|867627046367977|390|390|kpl|0|31.05.2021|15.06.2021||NIE|
262|lg k40|353615100724192|200|380|kpl|0|31.05.2021|02.07.2021||NIE|
263|SONY XPERIA 10 |352029101464181|250|250|tel|0|31.05.2021|29.12.2021||NIE|
264|MATE 20 LITE|861523045481214|300|390|kpl|0|31.05.2021|11.06.2021||NIE|
265|SAMSUNG A40|352551115513778|200|370|kpl|0|31.05.2021|19.06.2021||NIE|
266|lg k50s|353266110430915|220|410|tel|0|31.05.2021|22.07.2021||NIE|
267|Sony L3|352527101708283|200|360|kpl|0|31.05.2021|11.08.2021||NIE|
268|HONOR 8X |865777044148333|320|400|kpl|0|31.05.2021|23.07.2021||NIE|
269|SAMSUNG A6+|355612092084261|350|440|kpl|0|31.05.2021|18.06.2021||NIE|
270|huawei p9 lite|863692031019748|280|280|kpl|0|31.05.2021|23.06.2021||NIE|
271|lg K10 2017|354945083888162|150|280|tel|0|31.05.2021|03.07.2021||NIE|
272|huawei P9 lite|863126035087112|250|260|tel|0|31.05.2021|07.06.2021||NIE|
273|samsung xcover 3|358683071671649|150|250|tel|0|31.05.2021|09.06.2021||NIE|
274|huawei 4x |863674031742461|100||kpl|1|31.05.2021|||TAK|
275|LG K10|356600073893205|170|280|kpl|0|31.05.2021|07.06.2021||NIE|
276|huawei mate 10 lite|862812040944659|200|280|tel|0|31.05.2021|11.06.2021||NIE|
277|HUAWEI P9 LITE 2017 |862551034979137|150|290|kpl|0|31.05.2021|18.06.2021||NIE|
278|huawei y6 2018|867267035388823|180|280|kpl|0|31.05.2021|21.06.2021||NIE|
279|huawei p9 lite 2017 |867004037996950|260|290|kpl|0|31.05.2021|14.06.2021||NIE|
280|motorola e6s|355553112027734|200|300|kpl|0|31.05.2021|17.07.2021||NIE|
281|HUAWEI MATE 10 LITE|868850037967429|150|280|tel|0|31.05.2021|15.06.2021||NIE|
282|huawei p10 lite|867440034365817|150|300|tel|0|31.05.2021|18.06.2021||NIE|
283|SAMSUNG GALAXY WATCH  |R5AMA07ASZW|300|540|kpl|0|31.05.2021|01.06.2021||NIE|
284|samsung watch 46mm |rfanb0kcmvd|400|540|kpl|0|31.05.2021|01.06.2021||NIE|
285|apple watch 6 44mm |352968114689856|1500|1690|kpl|0|31.05.2021|07.06.2021||NIE|
286|GARET SMARTWATCH WIMEN CZARNY|x|80|140|kpl|0|31.05.2021|08.07.2021||NIE|
287|DOXA 130.90.125.01|x|850||kpl|1|31.05.2021|||TAK|
288|garmin vivosmart 3|560786877|100||kpl|1|31.05.2021|||TAK|
289|polar m430|c8312w1203979|170|140|kpl|0|31.05.2021|26.10.2021||NIE|
290|SAMSUNG WATCH ACTIVE|R5AM9011J0F|400|360|kpl|0|31.05.2021|30.07.2021||NIE|
291|ZEGAREK SAMSUNG WATCH R500 |R5AM301W5YY|400|370|kpl|0|31.05.2021|04.06.2021||NIE|
292|samsung galaxy watch active |rfan61m0lpd|200|330|kpl|0|31.05.2021|30.07.2021||NIE|
293|ZEGAREK TOMMY HILFIGER |TH3281962237|200|400|kpl|0|31.05.2021|24.11.2021||NIE|
294|timemaster k6 collection |a2035|60||kpl|1|31.05.2021|||TAK|
295|zegarek oriflame sr626sw|kolor srebrny|30|65|kpl|0|31.05.2021|15.11.2021||NIE|
296|Geoffrey Beene Men's GB8140GU|SR626SW|70|150|kpl|0|31.05.2021|29.06.2021||NIE|
297|zegarek oriflame  srebrny|x|30||kpl|1|31.05.2021|||TAK|
298|G-SHOCK CASIO 3095 G-770|x|100|180|kpl|0|31.05.2021|06.10.2021||NIE|
299|zegarek pacific s1045|x|120|210|x|0|31.05.2021|25.08.2021||NIE|
300|ZEGAREK AM:PM|PC165-G402|40|60|x|0|31.05.2021|04.06.2021||NIE|
301|zegarek casio bem-511|5345|250||x|1|31.05.2021|||TAK|
302|G-SHOCK G-7900|3194|100|250|x|0|31.05.2021|30.06.2021||NIE|
303|ZEGAREK BREAK |5109|50|130|x|0|31.05.2021|01.09.2021||NIE|
304|zegarek casio edifice ECW-M300E|5117|220||X|1|31.05.2021|||TAK|
305|ZEGAREK CASIO GW-6900|CZARNY|150|250|X|0|31.05.2021|07.07.2021||NIE|
306|ZEGAREK WOOD|X|50|130|X|0|31.05.2021|17.12.2021||NIE|
307|aztorin a040.g150|X|300||KPL|1|31.05.2021|||TAK|
308|ZEGAREK BERING 11935-222|X|100||X|1|31.05.2021|||TAK|
309|zegarek lorus vj42-x041|x|50|120|x|0|31.05.2021|20.08.2021||NIE|
310|zegarek rubicon rncd55|x|100|250|x|0|31.05.2021|17.07.2021||NIE|
311|zegarek casio bem-111d|x|50||x|1|31.05.2021|||TAK|
